Слуцкое шоссе, д. 51А
ул. Изумрудная, д. 15
ул. Ильинская, д. 26
ул. Инженерная, д. 4
ул. Институтская, д. 1
ул. Интернационалистов, д. 1
ул. Интернациональная, д. 33
ул. Иртышская, д. 1
ул. Ишутина, д. 6
ул. Калинина, д. 46А
ул. Калиновая, д. 7
ул. Каменная, д. 4
ул. Карповича, д. 6
ул. Каштановая, д. 2
ул. Кедровая, д. 8
ул. Кипарисовая, д. 16
ул. Кирова, д. 18
ул. Кирюникова, д. 7
ул. Кленовая, д. 1
ул. Ключевая, д. 15
ул. Князей Глебовичей, д. 13
ул. Коваленко, д. 8
ул. Ковалёва, д. 2А
ул. Козлова, д. 1
ул. Кольцевая, д. 8Б
ул. Коммунальная, д. 2Б
ул. Коммунистическая, д. 4
ул. Константина Острожского, д. 15
ул. Кооперативная, д. 3
ул. Копыльская, д. 14
ул. Корицкого, д. 136
ул. Короткая, д. 8
ул. Космонавтов, д. 17
ул. Кошевого, д. 3
ул. Красивая, д. 3
ул. Красина, д. 99 к82
ул. Красная, д. 16
ул. Криничная, д. 11
ул. Круглая, д. 22
ул. Крушиновая, д. 1
ул. Культурная, д. 7
ул. Купаловская, д. 8
ул. Купаловский проезд, д. 1
ул. Купеческая, д. 4
ул. Лазурная, д. 12
ул. Ларионовская, д. 20
ул. Ленина, д. 6
ул. Ленинская, д. 101
ул. Леонардо да Винчи, д. 2
ул. Лесная, д. 2А
ул. Летняя, д. 3
ул. Линейная, д. 8А
ул. Линейный тупик, д. 3
ул. Липовая Аллея, д. 4
ул. Липовая аллея, д. 46
ул. Липовая, д. 15
ул. Лиственная, д. 6
ул. Литературная, д. 3
ул. Логойская, д. 20
ул. Лойко, д. 15
ул. Лопатина, д. 19
ул. Луговая, д. 10
ул. Лунная, д. 8
ул. Ляховичская, д. 17
ул. Магистральная, д. 1
ул. Мазинская, д. 1
ул. Майская, д. 7
ул. Максима Богдановича, д. 13
ул. Малиновая, д. 22
ул. Малиновская, д. 2Б
ул. Марата Казея, д. 10
ул. Марины Молокович, д. 23
ул. Машерова, д. 14
ул. Маяковского, д. 11
ул. Мелиоративная, д. 297
ул. Мельничная, д. 3
ул. Металлургическая, д. 10Б
ул. Механизаторов, д. 3
ул. Микрорайон Дудовка, д. 13
ул. Милая, д. 10
ул. Минская, д. 67
ул. Мира, д. 17А
ул. Мирная, д. 27
ул. Мирутки, д. 51
ул. Мицкевича, д. 9
ул. Мичурина, д. 1Б
ул. Мишаева, д. 3
ул. Мозырская, д. 11А
