ул. Гвардейская, д. 14
ул. Гебелева, д. 7
ул. Геологическая, д. 10
ул. Герасименко, д. 30
ул. Герцена, д. 1
ул. Гикало, д. 9
ул. Гинтовта, д. 28
ул. Глаголева, д. 45
ул. Голодеда, д. 38А-2
ул. Голубева, д. 14Б
ул. Горная, д. 2
ул. Горовца, д. 24
ул. Городецкая, д. 22
ул. Городской Вал, д. 12 к1
ул. Гребельки, д. 53
ул. Грекова, д. 24
ул. Грибоедова, д. 22
ул. Гризодубовой, д. 1
ул. Грицевца, д. 7
ул. Громова, д. 20
ул. Грушевская, д. 15А
ул. Гурского, д. 15/6
ул. Гуртьева, д. 11
ул. Гусовского, д. 10
ул. Данилы Сердича, д. 57
ул. Даумана, д. 13
ул. Дачная, д. 9
ул. Двинская, д. 46
ул. Дворищи, д. 19
ул. Дежнёва, д. 1
ул. Декабристов, д. 33
ул. Денисовская, д. 45
ул. Дзержинского, д. 11
ул. Димитрова, д. 5
ул. Днепровская, д. 118
ул. Докшицкая, д. 11
ул. Долгобродская, д. 28
ул. Домашевская, д. 4
ул. Домбровская, д. 15
ул. Дорошевича, д. 10
ул. Достоевского, д. 7
ул. Дрозда, д. 7
ул. Друйская, д. 61
ул. Дубравинская, д. 11
ул. Дунина-Марцинкевича, д. 11
ул. Евфросиньи Полоцкой, д. 1
ул. Ежи Гедройца, д. 10
ул. Ельницкая, д. 48
ул. Енисейский проезд, д. 1
ул. Жасминовая, д. 3Б
ул. Железнодорожная, д. 23
ул. Жилуновича, д. 8
ул. Жудро, д. 71
ул. Жуковского, д. 5 к1
ул. Заводская, д. 10
ул. Замковая, д. 33
ул. Западная, д. 7А
ул. Запорожская, д. 27
ул. Заречная, д. 29
ул. Заречный тупик, д. 1
ул. Заславская, д. 23/1
ул. Заслонова, д. 11
ул. Затишье, д. 47
ул. Захарова, д. 67 к2
ул. Земледельческая, д. 51
ул. Зимняя, д. 1
ул. Змитрока Бядули, д. 3
ул. Зои Космодемьянской, д. 1
ул. Золотая Горка, д. 1
ул. Золотая, д. 1
ул. Зубачёва, д. 14
ул. Зыбицкая, д. 9
ул. Ивана Шамякина, д. 9
ул. Ивановская, д. 36
ул. Игнатенко, д. 17
ул. Иерусалимская, д. 2
ул. Извозная, д. 2
ул. Измайловская, д. 12
ул. Измайловский проезд, д. 1
ул. Илимская, д. 27
ул. Ильменская, д. 11
ул. Ильянская, д. 4
ул. Индустриальная, д. 7
ул. Инженерная, д. 41
ул. Интернациональная, д. 11
ул. Иосифа Жиновича, д. 21
ул. Иркутская, д. 111
ул. Искалиева, д. 12
ул. Кабушкина, д. 92
ул. Казимировская, д. 39
ул. Казинца, д. 7
ул. Калинина, д. 7
ул. Калиновского, д. 82 к2
ул. Кальварийская, д. 44
ул. Камайская, д. 2
ул. Каменногорская, д. 20
ул. Карбышева, д. 9/3
ул. Карвата, д. 18
